Department,Service Code,Service Name,Amount,Workflow Type
PHARMACY,Consum-0001,ABDOMOP (Per Piece),400.00,DRUG_DISPENSE
PHARMACY,Consum-0002,BLOOD BAG,6000.00,DRUG_DISPENSE
PHARMACY,Consum-0003,BLOOD GIVING SET,1200.00,DRUG_DISPENSE
PHARMACY,Consum-0004,CANNULA,600.00,DRUG_DISPENSE
PHARMACY,Consum-0005,CORD CLAMP,300.00,DRUG_DISPENSE
PHARMACY,Consum-0006,DISPENSING ENVELOPES,100.00,DRUG_DISPENSE
PHARMACY,Consum-0007,DRIP GIVING SET,800.00,DRUG_DISPENSE
PHARMACY,Consum-0008,FACE MASK,300.00,DRUG_DISPENSE
PHARMACY,Consum-0009,HVS MCS,4500.00,DRUG_DISPENSE
PHARMACY,Consum-0010,I.V FLUIDS 500ml,1500.00,DRUG_DISPENSE
PHARMACY,Consum-0011,LATEX GLOVES (PER PACK),7000.00,DRUG_DISPENSE
PHARMACY,Consum-0012,LATEX GLOVES (1 PIECE),200.00,DRUG_DISPENSE
PHARMACY,Consum-0013,MANTOUX TEST,2000.00,DRUG_DISPENSE
PHARMACY,Consum-0014,NEBULIZER (PER SESSION),5000.00,DRUG_DISPENSE
PHARMACY,Consum-0015,NEEDLE & SYRINGE (2mg 5mg 10mg),250.00,DRUG_DISPENSE
PHARMACY,Consum-0016,OXYGEN (BIG CYLINDER),22000.00,DRUG_DISPENSE
PHARMACY,Consum-0017,OXYGEN (SMALL CYLINDER),12000.00,DRUG_DISPENSE
PHARMACY,Consum-0018,PAEDIATRICS FEEDING TUBE (PER ONE),900.00,DRUG_DISPENSE
PHARMACY,Consum-0019,PLASTER (DURAPHONE WHITE),1800.00,DRUG_DISPENSE
PHARMACY,Consum-0020,PROCEDURE,2000.00,DRUG_DISPENSE
PHARMACY,Consum-0021,SOLUSET,4500.00,DRUG_DISPENSE
PHARMACY,Consum-0022,SPINAL NEEDLE,3000.00,DRUG_DISPENSE
PHARMACY,Consum-0023,SURGICAL GLOVES (PER PAIR),1000.00,DRUG_DISPENSE
PHARMACY,Consum-0024,SYRINGE 50mls,3000.00,DRUG_DISPENSE
PHARMACY,Consum-0025,URETHRAL CATHETER (Different sizes),1500.00,DRUG_DISPENSE
PHARMACY,Consum-0026,URINE BAG,3000.00,DRUG_DISPENSE
PHARMACY,Consum-0027,URINE/SPUTUM/WD SWAB MCS,4500.00,DRUG_DISPENSE
PHARMACY,Consum-0028,DISPOSABLE SPECULUM,500.00,DRUG_DISPENSE
PHARMACY,Consum-0029,SUFRATUL (VASELINE GAUGE),1000.00,DRUG_DISPENSE
PHARMACY,Consum-0030,PLASTIBEL,900.00,DRUG_DISPENSE
PHARMACY,Consum-0031,VICRYL SUTURE (PER PIECE),2500.00,DRUG_DISPENSE
PHARMACY,Consum-0032,INSULIN SYRINGE,600.00,DRUG_DISPENSE
PHARMACY,Consum-0033,SPIKE,300.00,DRUG_DISPENSE
PHARMACY,Consum-0034,NITINGALE,3500.00,DRUG_DISPENSE
PHARMACY,Consum-0035,IVF (1L),3000.00,DRUG_DISPENSE
PHARMACY,Consum-0036,10ml SYRINGE (PER PIECE),250.00,DRUG_DISPENSE
PHARMACY,Consum-0037,WATER FOR INJECTION,300.00,DRUG_DISPENSE
PHARMACY,Consum-0038,INJECTION WATER (PER PIECE),300.00,DRUG_DISPENSE
PHARMACY,Consum-0039,NYLON SUTURE (PER PIECE),1000.00,DRUG_DISPENSE
PHARMACY,Consum-0040,SUBCUTE NEEDLE,500.00,DRUG_DISPENSE
PHARMACY,Consum-0041,HOURLY OXYGEN ADMINISTRATION (PER HOUR),8000.00,DRUG_DISPENSE
