Department,Service Code,Service Name,Amount,Workflow Type
PHARMACY,IVF-0001,ENRIFOL 2mg,10000.00,DRUG_DISPENSE
PHARMACY,IVF-0002,PROGENOVA 2mg (1 Card),10000.00,DRUG_DISPENSE
PHARMACY,IVF-0003,BUSERELIN 0.5ml,3500.00,DRUG_DISPENSE
PHARMACY,IVF-0004,LUPRODEX 3.75mg,70000.00,DRUG_DISPENSE
PHARMACY,IVF-0005,ZOLADEX 3.6mg,150000.00,DRUG_DISPENSE
PHARMACY,IVF-0006,HUMOG 75iu,13000.00,DRUG_DISPENSE
PHARMACY,IVF-0007,ARGININE,15000.00,DRUG_DISPENSE
PHARMACY,IVF-0008,HUMOG 150iu,35000.00,DRUG_DISPENSE
PHARMACY,IVF-0009,GONAL F 75iu,18000.00,DRUG_DISPENSE
PHARMACY,IVF-0010,MENUPUR 57iu,10200.00,DRUG_DISPENSE
PHARMACY,IVF-0011,MEROFERT 150iu,20000.00,DRUG_DISPENSE
PHARMACY,IVF-0012,HCG 5000iu,25000.00,DRUG_DISPENSE
PHARMACY,IVF-0013,CYCLOGEST (1 Pkt),25000.00,DRUG_DISPENSE
PHARMACY,IVF-0014,CITROGEST (1 Pkt),25000.00,DRUG_DISPENSE
PHARMACY,IVF-0015,VASOPRIM (1 Card),150.00,DRUG_DISPENSE
PHARMACY,IVF-0016,GESTONE (1 Vial),5000.00,DRUG_DISPENSE
PHARMACY,IVF-0017,OVOFOLIC (1 Pkt by 60),20000.00,DRUG_DISPENSE
PHARMACY,IVF-0018,OVOFOLIC (By 30),11000.00,DRUG_DISPENSE
PHARMACY,IVF-0019,PROXEED (1 Pkt),22000.00,DRUG_DISPENSE
PHARMACY,IVF-0020,MEDFERTIL (1 Bottle),28000.00,DRUG_DISPENSE
PHARMACY,IVF-0021,FERTILAID MEN (1 Bottle),18000.00,DRUG_DISPENSE
PHARMACY,IVF-0022,FERTILAID WOMEN (1 Bottle),15000.00,DRUG_DISPENSE
PHARMACY,IVF-0023,DHEA (1 Bottle),6500.00,DRUG_DISPENSE
PHARMACY,IVF-0024,VIGOR CHOCOLATE (1 Bar),2500.00,DRUG_DISPENSE
PHARMACY,IVF-0025,MANIX (1 Capsule),400.00,DRUG_DISPENSE
PHARMACY,IVF-0026,MENOTROPIN (BLUE) 150iu,28000.00,DRUG_DISPENSE
PHARMACY,IVF-0027,NON SPERMICIDAL CONDOM (1),8000.00,DRUG_DISPENSE
PHARMACY,IVF-0028,FERTIGAIN,18000.00,DRUG_DISPENSE
PHARMACY,IVF-0029,CEFRORELOC (0.25mg),18000.00,DRUG_DISPENSE
PHARMACY,IVF-0030,POTENCIATOR (1 Pkt),15000.00,DRUG_DISPENSE
PHARMACY,IVF-0031,CITRODIOL 2mg (1 Pkt),10000.00,DRUG_DISPENSE
PHARMACY,IVF-0032,BUSERILIN 0.5ml (Per Dose),3500.00,DRUG_DISPENSE
PHARMACY,IVF-0033,OCP (1 Card),1200.00,DRUG_DISPENSE
PHARMACY,IVF-0034,PRIMOLUT N (1 Card),1.00,DRUG_DISPENSE
PHARMACY,IVF-0035,ESTRADIOL 2mg,10000.00,DRUG_DISPENSE
