Department,Service Code,Service Name,Amount,Description,Category,Workflow Type,Requires Visit,Requires Consultation,Auto Bill,Bill Timing,Allowed Roles,Is Active
PHARMACY,PHARM-0001,Comet Sanitary Pad,2500.00,Comet Sanitary Pad,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0002,10ml Syringe,250.00,10ml Syringe,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0003,150ml Burette IV Set,1500.00,150ml Burette IV Set,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0004,1ml syringe,1200.00,1ml syringe,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0005,20 ml Syringe,500.00,20 ml Syringe,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0006,2ml Syringe,250.00,2ml Syringe,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0007,2Way 16Fr 30ml Catheter,1500.00,2Way 16Fr 30ml Catheter,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0008,50ml Perfuser Syringe,3000.00,50ml Perfuser Syringe,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0009,5ml syringe,250.00,5ml syringe,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0010,ABIDEC DROP,6000.00,ABIDEC DROP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0011,ABIDEC SYRUP,30000.00,ABIDEC SYRUP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0012,ABITREN 100MG,1000.00,ABITREN 100MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0013,Absorent Gauze,14000.00,Absorent Gauze,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0014,ACCOLATE 20MG,4000.00,ACCOLATE 20MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0015,ACICLOVIR CREAM 10 GRAMS,3500.00,ACICLOVIR CREAM 10 GRAMS,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0016,ACTIFED,700.00,ACTIFED,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0017,ACTIFED SYRUP 60ML,3500.00,ACTIFED SYRUP 60ML,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0018,ACTIVATED VEG CHARCOAL 260MG CAP,1500.00,ACTIVATED VEG CHARCOAL 260MG CAP,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0019,ACTRAPID INSULIN 10MLS ( 100UNITS/ML ),15000.00,ACTRAPID INSULIN 10MLS ( 100UNITS/ML ),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0020,ACTRAPID INSULIN 10MLS ( 40UNITS/ML ),10000.00,ACTRAPID INSULIN 10MLS ( 40UNITS/ML ),DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0021,ADALAT RETARD 20MG,1000.00,ADALAT RETARD 20MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0022,ADRENALIN INJ 1MG,4000.00,ADRENALIN INJ 1MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0023,ADULT DIAPER,28000.00,ADULT DIAPER,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0024,ADVANTAN 0.1% CREAM,4500.00,ADVANTAN 0.1% CREAM,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0025,AGARY SURGICAL GLOVES,1500.00,AGARY SURGICAL GLOVES,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0026,ALBENDAZOLE 400MG,500.00,ALBENDAZOLE 400MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0027,ALDACTONE,5000.00,ALDACTONE,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0028,ALDOCURE TAB,11400.00,ALDOCURE TAB,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
PHARMACY,PHARM-0029,ALDOMET 250MG,1000.00,ALDOMET 250MG,DRUG,DRUG_DISPENSE,TRUE,TRUE,TRUE,AFTER,"DOCTOR, PHARMACIST",TRUE
