department,service_code,name,amount,description,category,workflow_type,requires_visit,requires_consultation,auto_bill,bill_timing,allowed_roles,is_active
RADIOLOGY,RAD-XRAY-CHEST-PA,Chest X-Ray PA,7500.00,X-ray imaging of the chest in posteroanterior view,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-CHEST-LAT,Chest X-Ray Lateral,7500.00,X-ray imaging of the chest in lateral view,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-SKULL,Skull X-Ray,8500.00,X-ray imaging of the skull - 2 views,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-ABDOMEN,Abdominal X-Ray,8000.00,X-ray imaging of the abdomen,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-PELVIS,Pelvic X-Ray,8500.00,X-ray imaging of the pelvis,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-SPINE-CERV,Cervical Spine X-Ray,9000.00,X-ray imaging of the cervical spine - 2 views,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-SPINE-THOR,Thoracic Spine X-Ray,9500.00,X-ray imaging of the thoracic spine - 2 views,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-SPINE-LUMB,Lumbar Spine X-Ray,10000.00,X-ray imaging of the lumbar spine - 2 views,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-SHOULDER,Shoulder X-Ray,8500.00,X-ray imaging of the shoulder joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
RADIOLOGY,RAD-XRAY-ELBOW,Elbow X-Ray,8000.00,X-ray imaging of the elbow joint,RADIOLOGY,RADIOLOGY_STUDY,TRUE,TRUE,TRUE,BEFORE,DOCTOR,TRUE
